Code	Name	High	Low	Close	Volume	Change	X
FAAAX	Franklin K2 Alternative Strategies Fund	10.82	10.82	10.82	0	0.01	0.09
FAACX	Nuveen Flagship All-American Muni Bd Fd	12.00	12.00	12.00	0	0.00	0.00
FAAFX	The Fairholme Allocation Fund	8.360	8.360	8.360	0	0.030	0.36
FAAGX	Nuveen Strategy Aggressive Growth	14.69	14.69	14.69	0	0.02	0.14
FAAIX	Fidelity Advisor Asset Manager 70% Class	19.98	19.98	19.98	0	0.01	0.05
FAAPX	Fa 529 Port 2019-Old Cl A	19.09	19.09	19.09	0	0.15	0.79
FAARX	Nuveen Flagship All-American Muni Bd Fd	12.05	12.05	12.05	0	0.00	0.00
FAASX	Fidelity Advisor Asset Manager 70% Class	19.92	19.92	19.92	0	0.01	0.05
FAATX	American Funds 2010 Target Date	10.48	10.48	10.48	0	0.00	0.00
FAAWX	Nuveen All-American Municipal B	12.05	12.05	12.05	0	0.00	0.00
FAAXX	First American Government Obligations	0.0100	0.0100	0.0100	0	0.0000	0.00
FABCX	Fidelity Advisor Series II Fidelity	19.15	19.15	19.15	0	0.00	0.00
FABDX	Franklin Flexible Alpha Bond Fund Cl C	9.920	9.920	9.920	0	0.010	0.10
FABFX	Franklin Flexible Alpha Bond Fund Cl A	9.960	9.960	9.960	0	0.010	0.10
FABLX	Fidelity Advisor Series II Fidelity	19.29	19.29	19.29	0	0.00	0.00
FABMX	Franklin Flexible Alpha Bond Fund Cl R	9.940	9.940	9.940	0	0.010	0.10
FABNX	Franklin Flexible Alpha Bond Fund Cl R6	9.950	9.950	9.950	0	0.000	0.00
FABSX	Nuveen Strategic Income Fund Class R3	10.85	10.85	10.85	0	0.00	0.00
FABZX	Franklin K2 Alternative Strategies Fund	10.86	10.86	10.86	0	0.01	0.09
FACCX	Nuveen All-American Municipal Bond Fund	12.00	12.00	12.00	0	0.00	0.00
FACDX	Fidelity Advisor Series Vii Fidelity	37.78	37.78	37.78	0	-0.06	0.16
FACEX	Frost Core Growth Equity Investor Class	13.65	13.65	13.65	0	0.04	0.29
FACFX	Fidelity Advisor Freedom 2010 Cl A	12.31	12.31	12.31	0	0.01	0.08
FACGX	Fidelity Advisor Series II Fidelity	54.16	54.16	54.16	0	0.08	0.15
FACIX	Fidelity Advisor Municipal Income 2019	10.77	10.77	10.77	0	0.00	0.00
FACMX	Nuveen Minnesota Intermediate Municipal	10.76	10.76	10.76	0	0.00	0.00
FACNX	Fidelity Advisor Canada Fund Class A	49.64	49.64	49.64	0	-0.30	0.60
FACPX	Fidelity Advisor Consumer Discretionary	19.88	19.88	19.88	0	0.03	0.15
FACSX	Nuveen Mid Cap Value Fd Cl C	35.22	35.22	35.22	0	0.10	0.28
